id,emergency_flag,end_time,imbalance_price_flag,imbalance_price_tag,net_imbalance_volume,net_imbalance_volume_tag,no_marginal_flag,participant_name,pboa,price_average_reference_tag,qboa,rank,resource_name,row_id,so_flag,start_time,trade_date,from_file,uploaded_date
7143576,1,2022-04-25T12:40:00,0,1,17.148,1,0,PT_500045,250.07,1,1.434,17,GU_500822,32,1,2022-04-25T12:35:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251235.xml,2022-04-26 01:00:00.437257
7143575,1,2022-04-25T12:40:00,0,0.12,17.148,1,0,PT_500045,250.07,0.12,6.316,16,GU_500822,31,1,2022-04-25T12:35:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251235.xml,2022-04-26 01:00:00.437257
7143574,1,2022-04-25T12:40:00,0,0.12,17.148,1,0,PT_500045,250.07,0.12,6.316,16,GU_500822,30,1,2022-04-25T12:35:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251235.xml,2022-04-26 01:00:00.437257
7143543,1,2022-04-25T15:00:00,0,0,26.313,1,0,PT_500045,250.07,0,7.75,24,GU_500822,41,1,2022-04-25T14:55:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251455.xml,2022-04-26 01:00:00.437257
7143542,1,2022-04-25T15:00:00,0,0,26.313,1,0,PT_500045,250.07,0,7.75,24,GU_500822,40,1,2022-04-25T14:55:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251455.xml,2022-04-26 01:00:00.437257
7143502,1,2022-04-25T13:40:00,0,0.48,16.893,1,0,PT_500045,250.07,0.48,6.316,18,GU_500822,33,1,2022-04-25T13:35:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251335.xml,2022-04-26 01:00:00.437257
7143501,1,2022-04-25T13:40:00,0,0.48,16.893,1,0,PT_500045,250.07,0.48,6.316,18,GU_500822,32,1,2022-04-25T13:35:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251335.xml,2022-04-26 01:00:00.437257
7143500,1,2022-04-25T13:40:00,0,0,16.893,1,0,PT_500045,250.07,0,1.434,17,GU_500822,31,1,2022-04-25T13:35:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251335.xml,2022-04-26 01:00:00.437257
7143499,1,2022-04-25T13:40:00,0,0,16.893,1,0,PT_500045,250.07,0,1.434,17,GU_500822,30,1,2022-04-25T13:35:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251335.xml,2022-04-26 01:00:00.437257
7143469,1,2022-04-25T13:50:00,0,0,21.126,1,0,PT_500045,250.07,0,3.898,13,GU_500822,28,1,2022-04-25T13:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251345.xml,2022-04-26 01:00:00.437257
7143468,1,2022-04-25T13:50:00,0,0,21.126,1,0,PT_500045,250.07,0,3.852,12,GU_500822,27,1,2022-04-25T13:45:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251345.xml,2022-04-26 01:00:00.437257
7143441,1,2022-04-25T14:25:00,0,0,30.017,1,0,PT_500045,250.07,0,0.671,17,GU_500822,41,1,2022-04-25T14:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251420.xml,2022-04-26 01:00:00.437257
7143440,1,2022-04-25T14:25:00,0,0,30.017,1,0,PT_500045,250.07,0,0.671,17,GU_500822,40,1,2022-04-25T14:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251420.xml,2022-04-26 01:00:00.437257
7143439,1,2022-04-25T14:25:00,0,0,30.017,1,0,PT_500045,250.07,0,7.079,16,GU_500822,39,1,2022-04-25T14:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251420.xml,2022-04-26 01:00:00.437257
7143438,1,2022-04-25T14:25:00,0,0,30.017,1,0,PT_500045,250.07,0,7.079,16,GU_500822,38,1,2022-04-25T14:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251420.xml,2022-04-26 01:00:00.437257
7143400,1,2022-04-25T13:35:00,0,0,15.17,0,0,PT_500045,250.07,0,7.272,30,GU_500822,36,1,2022-04-25T13:30:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251330.xml,2022-04-26 01:00:00.437257
7143399,1,2022-04-25T13:35:00,0,0,15.17,0,0,PT_500045,250.07,0,7.272,30,GU_500822,35,1,2022-04-25T13:30:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251330.xml,2022-04-26 01:00:00.437257
7143398,1,2022-04-25T13:35:00,0,0,15.17,0,0,PT_500045,250.07,0,0.478,29,GU_500822,34,1,2022-04-25T13:30:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251330.xml,2022-04-26 01:00:00.437257
7143397,1,2022-04-25T13:35:00,0,0,15.17,0,0,PT_500045,250.07,0,0.478,29,GU_500822,33,1,2022-04-25T13:30:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251330.xml,2022-04-26 01:00:00.437257
7143364,1,2022-04-25T14:10:00,0,0,26.259,1,0,PT_500045,250.07,0,6.316,19,GU_500822,44,1,2022-04-25T14:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251405.xml,2022-04-26 01:00:00.437257
7143363,1,2022-04-25T14:10:00,0,0,26.259,1,0,PT_500045,250.07,0,6.316,19,GU_500822,43,1,2022-04-25T14:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251405.xml,2022-04-26 01:00:00.437257
7143362,1,2022-04-25T14:10:00,0,0,26.259,1,0,PT_500045,250.07,0,1.434,18,GU_500822,42,1,2022-04-25T14:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251405.xml,2022-04-26 01:00:00.437257
7143361,1,2022-04-25T14:10:00,0,0,26.259,1,0,PT_500045,250.07,0,1.434,18,GU_500822,41,1,2022-04-25T14:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251405.xml,2022-04-26 01:00:00.437257
7143320,1,2022-04-25T14:15:00,0,0,27.608,1,0,PT_500045,250.07,0,2.39,19,GU_500822,45,1,2022-04-25T14:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251410.xml,2022-04-26 01:00:00.437257
7143319,1,2022-04-25T14:15:00,0,0,27.608,1,0,PT_500045,250.07,0,2.39,19,GU_500822,44,1,2022-04-25T14:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251410.xml,2022-04-26 01:00:00.437257
7143318,1,2022-04-25T14:15:00,0,0,27.608,1,0,PT_500045,250.07,0,5.36,18,GU_500822,43,1,2022-04-25T14:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251410.xml,2022-04-26 01:00:00.437257
7143317,1,2022-04-25T14:15:00,0,0,27.608,1,0,PT_500045,250.07,0,5.36,18,GU_500822,42,1,2022-04-25T14:10:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251410.xml,2022-04-26 01:00:00.437257
7143275,1,2022-04-25T14:30:00,0,0,30.921,1,0,PT_500045,250.07,0,7.75,16,GU_500822,38,1,2022-04-25T14:25:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251425.xml,2022-04-26 01:00:00.437257
7143274,1,2022-04-25T14:30:00,0,0,30.921,1,0,PT_500045,250.07,0,7.75,16,GU_500822,37,1,2022-04-25T14:25:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251425.xml,2022-04-26 01:00:00.437257
7143237,1,2022-04-25T12:20:00,0,0.09,19.358,1,0,PT_500045,250.07,0.09,3.898,14,GU_500822,29,0,2022-04-25T12:15:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251215.xml,2022-04-26 01:00:00.437257
